queue_rank,ticker,rm,sector,action,missing_current,ingestable_current,latest_mda,latest_fs_notes,latest_sec_idisc
1,TVO,O,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,B-WORK,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,BOFFICE,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CPNCG,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CPTREIT,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,FUTURERT,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,GVREIT,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,ISSARA,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,KPNREIT,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,MIPF,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,POPF,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,QHBREIT,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SIRIPRT,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SPRIME,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SSPF,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TPRIME,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,WHABT,O,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,APURE,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,BR,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CH,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CHAO,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CM,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,COCOCO,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,F&D,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,FM,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,HTC,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,JDF,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,KCG,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,MALEE,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,NRF,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,NSL,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,PLUS,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,PM,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,RBF,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SAUCE,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SNNP,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SORKON,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SUN,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TKN,P,FOOD,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,LHRREIT,P,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,MNIT,P,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,MNIT2,P,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,MNRF,P,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TU-PF,P,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,HYDROGEN,T,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,KTBSTMR,T,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,M-STOR,T,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,MII,T,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,PROSPECT,T,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,AKS,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,ANAN,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,ASW,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CGD,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CI,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CMC,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,ESTAR,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,EVER,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,FPT,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,Q3-2025
1,GLAND,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,LPN,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,MJD,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,NOBLE,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,ORN,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,PROUD,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,PSH,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,QH,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,RABBIT,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,RICHY,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,RML,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,S,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SA,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SENA,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SIRI,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,Q3-2025
1,STELLA,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,UV,T,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
